date,btc,eth,bnb,usdt,ada,xrp,doge,ltc,trx,link,bch,xlm,etc,xmr,eos,lrc,zec,waves,bat,dash,dcr,xem,miota,neo,sc,bnt,btg,zrx,storj,dgb,sys,lsk,snt,cvc,usd,sp500
2020-01-15 19:00:00+00:00,8750.5967,164.51646,17.620989,.99846554,.041546553,.23415413,.0024369252,57.397709,.017478086,2.4286506,329.44409,.05382609,7.6468387,65.802689,3.7108834,.0243882,52.361732,.89991206,.22279143,121.43574,18.190027,.037298597,.22292693,11.326675,.0015639141,.21921131,13.601338,.24193366,.10779531,.0065934784,.021340463,.69155222,.010288437,.020928541,97.228996,3294.6399
2020-01-15 20:00:00+00:00,8796.9404,166.14465,17.617058,1.0009332,.041850958,.23495242,.0024670127,58.06147,.017559756,2.4335687,335.22919,.055214517,7.552444,66.473679,3.7883792,.024584549,53.054276,.90046191,.22485353,123.03114,18.395611,.037726842,.22898442,11.457656,.0015654458,.22144915,14.699674,.24812606,.1092689,.0065591908,.021478169,.68761253,.010345973,.020961,97.213997,3284.6499
2020-01-15 21:00:00+00:00,8809.2148,165.18022,17.632393,.99796629,.041945785,.23547386,.0023668869,58.075298,.017470848,2.4312811,336.05594,.055086497,7.5497761,66.528664,3.7760596,.024454771,53.763004,.89745253,.22129689,130.53375,18.49729,.036932759,.23044741,11.425093,.0015699913,.22043695,14.815845,.24470206,.10880628,.0066930242,.021520283,.68375391,.010318385,.020996261,97.222,3289.28
2020-01-16 15:00:00+00:00,8701.7617,162.43631,16.942827,.9982366,.040780354,.22753072,.0023363745,56.630524,.016680023,2.46825,322.75348,.053359903,7.8940268,64.73912,3.6722264,.023947774,49.35955,.8710742,.2186895,123.02387,20.935539,.035689797,.22117274,10.966355,.0015296045,.22105017,13.042103,.2470753,.10691958,.0065942146,.021336198,.65083766,.010095546,.020334939,97.278,3306.45
2020-01-16 16:00:00+00:00,8646.3633,161.68877,16.767677,.99895585,.040356975,.22607738,.0022946016,56.31488,.016573409,2.4444132,319.89325,.0534667,8.1815767,64.78363,3.6609788,.023826886,48.926601,.86478937,.21703835,124.42366,20.789545,.035560768,.22053713,10.857349,.0015275823,.21884441,12.856955,.24426007,.10623171,.0064985347,.021106586,.6596005,.010044677,.020205792,97.334,3305
2020-01-16 17:00:00+00:00,8685.7041,163.41393,16.841789,1.0014592,.0410336,.2280968,.0023390758,57.762466,.016863931,2.4626753,323.92804,.053914223,8.277463,65.729431,3.8417969,.023898738,50.409031,.869371,.21882881,125.85784,22.081221,.035757665,.22282286,11.007102,.0015432693,.21849385,12.929049,.24651775,.10689443,.0066102236,.021174494,.66529828,.010075395,.02049844,97.309998,3305.8301
2020-01-16 18:00:00+00:00,8686.8711,163.67104,16.930767,1.0000356,.041134853,.22940975,.0023142071,57.880024,.016933376,2.4645326,327.11728,.053779773,8.3631725,65.754822,3.8099835,.023836706,50.125488,.87162292,.21825673,124.77026,22.076378,.035699911,.22301272,11.032036,.0015452601,.21872833,12.951193,.24978875,.10646977,.00674095,.021559173,.66781235,.010011427,.020374544,97.322998,3307.23
2020-01-16 19:00:00+00:00,8699.0762,163.50517,17.172451,1.0019399,.041018728,.22951695,.0023710027,57.584782,.01689251,2.471209,325.67236,.054018531,8.3065424,65.861374,3.787513,.023883689,50.072063,.87132221,.21917607,125.46374,21.893919,.036218777,.22626628,11.047246,.0015516564,.2216499,12.760307,.24758559,.1064049,.0067731235,.021623643,.67096543,.010086038,.020448828,97.32,3309.1101
2020-01-16 20:00:00+00:00,8729.793,164.82355,17.252739,.99898458,.041466892,.22982594,.002317758,57.817768,.017011492,2.4941359,329.95117,.053906389,8.4727821,65.896591,3.8360434,.023813954,50.980141,.87607455,.22023445,127.97759,21.266602,.036509264,.22743729,11.233761,.0015622083,.22009216,13.025507,.24981673,.10830393,.0068657221,.021622891,.67380124,.010131435,.020291453,97.292999,3310.01
2020-01-16 21:00:00+00:00,8696.21,163.61745,17.042725,1.0004752,.041090518,.22925296,.0023409775,57.843948,.016885128,2.4653318,325.23026,.053784423,8.3093681,65.565033,3.8407218,.023911767,50.729565,.87617683,.21899743,126.50939,21.143049,.036469009,.22520804,11.205448,.0015325216,.21921149,12.793492,.24710265,.10851332,.0068839188,.02160153,.67827117,.010015642,.020242784,97.305,3316.71
